building_id,meter,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,unixtimestamp,m0,m1,m2,m3
60,0,0,Education,81576,1997.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
61,0,0,Lodging/residential,38686,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
62,0,0,Lodging/residential,42731,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
63,0,0,Lodging/residential,41617,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
64,0,0,Lodging/residential,53130,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
65,0,0,Lodging/residential,53130,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
66,0,0,Lodging/residential,37241,1981.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
67,0,0,Lodging/residential,24456,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
68,0,0,Parking,487433,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
69,0,0,Parking,387638,2000.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
70,0,0,Parking,387638,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
71,0,0,Parking,387638,1998.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
72,0,0,Parking,387638,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
73,0,0,Parking,387638,2008.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
74,0,0,Parking,387638,1997.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,43,0,0,0
75,0,0,Education,80942,2010.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
76,0,0,Education,128887,2009.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
77,0,0,Lodging/residential,24456,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
78,0,0,Education,76257,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
79,0,0,Office,36240,2010.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
80,0,0,Office,156111,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
81,0,0,Other,3025,1979.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
82,0,0,Office,10743,1974.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
83,0,0,Other,2070,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
84,0,0,Office,4038,1986.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
85,0,0,Lodging/residential,37241,1981.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
86,0,0,Education,10932,1986.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
87,0,0,Entertainment/public assembly,6412,2006.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
88,0,0,Entertainment/public assembly,76527,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
89,0,0,Retail,161755,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
90,0,0,Lodging/residential,59200,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
91,0,0,Education,68094,2003.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
92,0,0,Office,10779,1970.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
93,0,0,Office,33370,1982.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,52,0,0,0
94,0,0,Education,29469,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
95,0,0,Lodging/residential,200933,2006.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
96,0,0,Lodging/residential,200933,2006.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
97,0,0,Lodging/residential,187647,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
98,0,0,Lodging/residential,200933,2007.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
99,0,0,Office,2260,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
100,0,0,Lodging/residential,24456,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
101,0,0,Office,18860,1986.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
102,0,0,Office,15876,1983.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
103,0,0,Education,21657,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
104,0,0,Office,45330,2003.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
105,0,1,Education,50623,,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,23,0,0,0
106,0,1,Education,5374,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,0
106,3,1,Education,5374,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,0
107,0,1,Education,97532,2005.0,10.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,175,0,0,0
108,0,1,Education,81580,1913.0,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,91,0,0,0
109,0,1,Education,56995,1953.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,80,0,0,0
109,3,1,Education,56995,1953.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,0
110,0,1,Education,27814,2006.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,86,0,0,0
111,0,1,Education,118338,1909.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,167,0,0,0
112,0,1,Education,32206,,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,10,0,0,0
112,3,1,Education,32206,,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,96
113,0,1,Education,100481,1958.0,9.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,159,0,0,0
113,3,1,Education,100481,1958.0,9.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,19
114,0,1,Education,139683,1958.0,13.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,324,0,0,0
114,3,1,Education,139683,1958.0,13.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,100
115,0,1,Education,129716,1968.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,201,0,0,0
116,0,1,Education,37265,,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,69,0,0,0
117,0,1,Education,15489,2004.0,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,16,0,0,0
117,3,1,Education,15489,2004.0,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,19
118,0,1,Education,138316,1960.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,117,0,0,0
119,0,1,Education,91149,2007.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,219,0,0,0
119,3,1,Education,91149,2007.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,200
120,0,1,Education,68211,1976.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,52,0,0,0
121,0,1,Education,150318,1906.0,9.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,229,0,0,0
121,3,1,Education,150318,1906.0,9.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,299
122,0,1,Education,83043,1991.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,134,0,0,0
123,0,1,Education,61204,1989.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,46,0,0,0
124,0,1,Education,38319,1900.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,9,0,0,0
125,0,1,Education,16802,1995.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,74,0,0,0
126,0,1,Education,21539,2004.0,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,46,0,0,0
127,0,1,Lodging/residential,27071,,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,8,0,0,0
128,0,1,Lodging/residential,102774,1956.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,31,0,0,0
129,0,1,Lodging/residential,102957,1968.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,33,0,0,0
130,0,1,Lodging/residential,62893,1960.0,16.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,14,0,0,0
131,0,1,Lodging/residential,66661,1930.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,82,0,0,0
132,0,1,Lodging/residential,83108,1995.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,17,0,0,0
133,0,1,Lodging/residential,64723,1960.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,17,0,0,0
134,0,1,Lodging/residential,49589,1998.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,27,0,0,0
135,0,1,Lodging/residential,66532,1967.0,10.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,26,0,0,0
136,0,1,Lodging/residential,56467,1960.0,9.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,16,0,0,0
137,0,1,Entertainment/public assembly,64024,1967.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,14,0,0,0
138,0,1,Public services,118231,,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,36,0,0,0
138,3,1,Public services,118231,,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,0
139,0,1,Public services,56629,1900.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,12,0,0,0
139,3,1,Public services,56629,1900.0,6.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,0
140,0,1,Office,50020,,11.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,8,0,0,0
141,0,1,Office,44789,1919.0,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,20,0,0,0
142,0,1,Office,45348,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,13,0,0,0
143,0,1,Office,40085,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,15,0,0,0
144,0,1,Office,57673,,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,28,0,0,0
144,3,1,Office,57673,,5.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,9
145,0,1,Office,14219,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,9,0,0,0
145,3,1,Office,14219,,4.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,0,0,0,100
146,0,1,Office,31614,1956.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,6,0,0,0
147,0,1,Office,82548,1977.0,7.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,72,0,0,0
148,0,1,Office,174601,1960.0,12.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,47,0,0,0
149,0,1,Office,81881,1960.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,53,0,0,0
150,0,1,Office,65657,1955.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,161,0,0,0
151,0,1,Office,30495,1997.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,18,0,0,0
152,0,1,Office,10301,1970.0,2.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,4,0,0,0
153,0,1,Office,16092,1965.0,3.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,7,0,0,0
154,0,1,Office,34455,1907.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,109,0,0,0
155,0,1,Office,51688,1930.0,8.0,3.8,,2.4,,1020.9,240.0,3.1,1451606400,57,0,0,0
156,0,2,Public services,43681,2007.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,114,0,0,0
157,0,2,Office,5258,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,28,0,0,0
158,0,2,Office,10135,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,19,0,0,0
159,0,2,Education,9788,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,11,0,0,0
160,0,2,Entertainment/public assembly,15786,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,5,0,0,0
161,0,2,Education,11329,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,7,0,0,0
161,1,2,Education,11329,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
162,0,2,Education,98829,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,68,0,0,0
162,1,2,Education,98829,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
163,0,2,Education,72102,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,77,0,0,0
163,1,2,Education,72102,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,4,0,0
163,3,2,Education,72102,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,35
164,0,2,Warehouse/storage,12908,1979.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,23,0,0,0
165,0,2,Warehouse/storage,3877,1975.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,10,0,0,0
166,0,2,Lodging/residential,553210,2009.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,296,0,0,0
166,1,2,Lodging/residential,553210,2009.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,209,0,0
166,3,2,Lodging/residential,553210,2009.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,120
167,0,2,Lodging/residential,86323,1956.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,58,0,0,0
167,1,2,Lodging/residential,86323,1956.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
167,3,2,Lodging/residential,86323,1956.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,41
168,0,2,Education,183460,2005.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,463,0,0,0
168,1,2,Education,183460,2005.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,51,0,0
168,3,2,Education,183460,2005.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,184
169,0,2,Education,179559,2006.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,468,0,0,0
169,1,2,Education,179559,2006.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,176,0,0
169,3,2,Education,179559,2006.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,296
170,0,2,Retail,45224,1982.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,41,0,0,0
170,1,2,Retail,45224,1982.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,11,0,0
171,0,2,Office,131797,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,33,0,0,0
171,1,2,Office,131797,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
171,3,2,Office,131797,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,5
172,0,2,Office,121440,1983.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,111,0,0,0
172,1,2,Office,121440,1983.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
173,0,2,Education,90903,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,171,0,0,0
173,1,2,Education,90903,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,19,0,0
174,0,2,Education,90900,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,179,0,0,0
174,1,2,Education,90900,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,52,0,0
175,0,2,Education,111635,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,86,0,0,0
175,1,2,Education,111635,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,116,0,0
175,3,2,Education,111635,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,20
176,0,2,Education,62238,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,25,0,0,0
176,1,2,Education,62238,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
176,3,2,Education,62238,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
177,0,2,Entertainment/public assembly,167066,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,205,0,0,0
177,1,2,Entertainment/public assembly,167066,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,130,0,0
177,3,2,Entertainment/public assembly,167066,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,55
178,0,2,Office,23392,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,25,0,0,0
178,1,2,Office,23392,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,5,0,0
179,0,2,Food sales and service,24867,2012.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,39,0,0,0
179,1,2,Food sales and service,24867,2012.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
179,3,2,Food sales and service,24867,2012.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,2
180,0,2,Education,24586,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,20,0,0,0
180,1,2,Education,24586,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,20,0,0
181,0,2,Education,148829,2014.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,227,0,0,0
181,1,2,Education,148829,2014.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,12,0,0
182,0,2,Entertainment/public assembly,1022,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,1,0,0,0
183,0,2,Education,132518,1992.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,146,0,0,0
183,1,2,Education,132518,1992.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,13,0,0
183,3,2,Education,132518,1992.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,14
184,0,2,Education,34171,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,20,0,0,0
184,3,2,Education,34171,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,11
185,0,2,Education,84300,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,46,0,0,0
186,0,2,Religious worship,1629,1948.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,3,0,0,0
187,0,2,Education,44203,1950.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,5,0,0,0
187,1,2,Education,44203,1950.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
187,3,2,Education,44203,1950.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
188,0,2,Office,23549,1941.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,11,0,0,0
188,1,2,Office,23549,1941.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,6,0,0
189,0,2,Education,7481,1969.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,4,0,0,0
189,1,2,Education,7481,1969.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,0,0,0,0
190,0,2,Education,137040,1957.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400,118,0,0,0
